code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603320,迪贝电气,-5.903,18.97,19.45,19.6,18.74,20.16,1806467.0,7.2258700000000005,34782697.0,31.098,3.255,189700.0,47425.0
603319,湘油泵,-2.207,27.03,27.0,27.7,26.67,27.64,701853.0,1.23827,19029347.0,29.934,3.349,218726.76,153206.807652
603318,派思股份,0.0,14.11,0.0,0.0,0.0,14.11,0.0,0.0,0.0,235.167,10.0,569059.512847,149848.2
603316,诚邦股份,-3.117,11.19,11.25,11.4,11.07,11.55,784848.0,1.54437,8807843.0,27.975,2.927,227470.32,56867.58
603315,福鞍股份,-3.502,11.85,12.04,12.04,11.56,12.28,743000.0,0.95425,8772550.0,69.706,3.564,260641.817685,92267.0625
603313,梦百合,-4.134,22.26,22.82,22.83,21.72,23.22,1348900.0,1.63807,30003547.0,21.612,3.52,534240.0,183304.515492
603311,金海环境,-3.125,13.33,13.64,13.64,13.2,13.76,638100.0,0.68608,8521058.0,39.206,3.98,279930.0,123977.349912
603309,维力医疗,0.0,17.85,0.0,0.0,0.0,17.85,0.0,0.0,0.0,44.625,4.057,357000.0,125178.28722
603308,应流股份,1.127,12.56,12.17,12.83,11.9,12.42,3659300.0,0.9148000000000001,45757772.0,96.615,1.936,544795.452296,502412.56
603306,华懋科技,-2.969,21.9,21.69,22.67,21.69,22.57,1954957.0,0.9189900000000001,43126879.0,17.52,2.533,517210.11876,465878.7
603305,旭升股份,-2.779,25.19,24.33,25.6,24.33,25.91,1653452.0,3.97464,41540940.0,44.193,9.281,1009111.4,104790.4
603303,得邦照明,-4.167,11.73,11.89,12.11,11.65,12.24,1765974.0,1.73135,20936550.0,6.624,1.169,478584.0,119646.0
603300,华铁科技,-4.261,7.19,7.37,7.37,7.11,7.51,4271175.0,1.53576,30946095.0,55.308,2.545,291439.46,199963.966
603299,井神股份,-4.83,9.26,9.51,9.53,9.19,9.73,5383716.0,1.9275700000000002,50344716.0,225.854,2.499,518041.44,258632.63803
603298,杭叉集团,-3.233,13.47,13.58,13.79,13.38,13.92,1764583.0,1.03443,23925043.0,17.724,2.459,833596.58046,229778.855733
603289,泰瑞机器,-9.475,14.14,14.99,15.2,14.06,15.62,5872945.0,11.51558,85575356.0,29.458,4.221,288456.0,72114.0
603288,海天味业,-1.131,51.57,50.67,52.29,47.66,52.16,4311693.0,0.15988000000000002,219248277.0,49.114,13.004,13930122.9519,13907844.7119
603286,日盈电子,-9.985,24.34,24.34,24.78,24.34,27.04,9072300.0,41.20214,221161170.0,51.787,5.234,214376.984,53594.246
603283,赛腾股份,-3.006,22.91,22.7,24.38,22.28,23.62,5463092.0,13.65773,127394376.0,57.275,7.343,366560.0,91640.0
603278,大业股份,-5.418,16.76,17.15,17.2,16.56,17.72,2987827.0,5.74582,50505277.0,18.217,3.907,348608.0,87152.0
603277,银都股份,-4.05,13.74,13.82,14.08,13.5,14.32,2109295.0,3.1959,29158845.0,19.083,3.563,550699.2,90684.0
